族語	中文翻譯	從語料庫移除	音檔
tabu	包起來	保留	Sakizaya_A2-15-2.mp3
tabukud	網子；漁網	保留	Sakizaya_A2-15-3.mp3
tademaw	人	保留	Sakizaya_A2-15-4.mp3
taduk	鴨	保留	Sakizaya_A2-15-5.mp3
taengang	躺	保留	Sakizaya_A2-15-6.mp3
takal	桌子；書桌	保留	Sakizaya_A2-15-9.mp3
takelal	天亮	保留	Sakizaya_A2-15-10.mp3
takulaw	喉嚨	保留	Sakizaya_A2-15-11.mp3
talakaw	高	刪除	Sakizaya_A2-15-11.mp3
tali	芋頭	保留	Sakizaya_A2-15-12.mp3
tamulak	南瓜	保留	Sakizaya_A2-15-14.mp3
tanang	汗水	保留	Sakizaya_A2-15-15.mp3
tangah	頭	保留	Sakizaya_A2-15-17.mp3
tangila	耳朵	保留	Sakizaya_A2-15-18.mp3
tanud	杵	保留	Sakizaya_A2-15-19.mp3
tapuku	天空	保留	Sakizaya_A2-15-20.mp3
tatak	鋤頭	保留	Sakizaya_A2-15-21.mp3
tatama	男性；男人	保留	Sakizaya_A2-15-22.mp3
tatangahan	枕頭	保留	Sakizaya_A2-15-23.mp3
tatangila	木耳	保留	Sakizaya_A2-15-24.mp3
tatayna	女性；女人	保留	Sakizaya_A2-15-25.mp3
tatelecan	腰部	保留	Sakizaya_A2-15-26.mp3
taywan	閩南人	保留	Sakizaya_A2-15-28.mp3
tayza	去	保留	Sakizaya_A2-15-29.mp3
tebus	甘蔗	保留	Sakizaya_A2-15-32.mp3
teliteli	雨滴	保留	Sakizaya_A2-15-33.mp3
tenes	久	保留	Sakizaya_A2-15-35.mp3
tenun	編織	保留	Sakizaya_A2-15-36.mp3
tiekuk	蛋；卵	保留	Sakizaya_A2-15-37.mp3
tini	這裡	保留	Sakizaya_A2-15-38.mp3
tipus	稻穀（未去殼）	保留	Sakizaya_A2-15-39.mp3
titi	肉（動物）	保留	Sakizaya_A2-15-40.mp3
titi nu pabuy	豬肉	保留	Sakizaya_A2-15-41.mp3
tiza	那裡	保留	Sakizaya_A2-15-42.mp3
tubah	地瓜；甘藷	保留	Sakizaya_A2-15-43.mp3
tukal	梯子	保留	Sakizaya_A2-15-44.mp3
tulakuk	雞	保留	Sakizaya_A2-15-45.mp3
tulu	三	保留	Sakizaya_A2-15-46.mp3
tulu a bataan	三十	保留	Sakizaya_A2-15-47.mp3
tumay	熊	保留	Sakizaya_A2-15-48.mp3
tupel	帽子	保留	Sakizaya_A2-15-49.mp3
tusa	二	保留	Sakizaya_A2-15-50.mp3
tusa a bataan	二十	保留	Sakizaya_A2-15-51.mp3
udad	雨	保留	Sakizaya_A2-16-1.mp3
udu	臀部	保留	Sakizaya_A2-16-2.mp3
uli; tayza	去	保留	Sakizaya_A2-16-3.mp3
ungay	猴子	保留	Sakizaya_A2-16-4.mp3
uning	髒東西	保留	Sakizaya_A2-16-5.mp3
uyni	這個	保留	Sakizaya_A2-16-6.mp3
uyza	那個	保留	Sakizaya_A2-16-7.mp3
uzip	身體	保留	Sakizaya_A2-16-8.mp3
wacah	煙	保留	Sakizaya_A2-17-1.mp3
wacu	狗	保留	Sakizaya_A2-17-2.mp3
wadu	蜜蜂	保留	Sakizaya_A2-17-3.mp3
wakung	碗	保留	Sakizaya_A2-17-4.mp3
walu	八	保留	Sakizaya_A2-17-5.mp3
walu a bataan	八十	保留	Sakizaya_A2-17-6.mp3
wanan	右手	保留	Sakizaya_A2-17-7.mp3
wawa	小孩；孩童	保留	Sakizaya_A2-17-8.mp3
wili	左手	保留	Sakizaya_A2-17-9.mp3
yadah	多（物）；很多	保留	Sakizaya_A2-18-1.mp3
zais	額頭	保留	Sakizaya_A2-19-1.mp3
zayhansa	因為	保留	Sakizaya_A2-19-2.mp3
zazan	路；道路	保留	Sakizaya_A2-19-3.mp3
zikuz	之後；後面（建物或山）	保留	Sakizaya_A2-19-4.mp3
zinum	針	保留	Sakizaya_A2-19-5.mp3
zikuc	衣服	保留	Sakizaya_A2-19-6.mp3
