族語	中文翻譯	從語料庫移除	音檔
hang	可以；是的	保留	Sakizaya_A2-6-4.mp3
haymawen	再見	保留	Sakizaya_A2-6-5.mp3
hekal	外面；外頭	保留	Sakizaya_A2-6-7.mp3
hemay	飯	保留	Sakizaya_A2-6-8.mp3
hina; sawsawni	經常	保留	Sakizaya_A2-6-9.mp3
hulam	漢人	保留	Sakizaya_A2-6-10.mp3
hulic	法律	保留	Sakizaya_A2-6-11.mp3
i cuwaay	哪一個	保留	Sakizaya_A2-7-1.mp3
i labu	裡面；內部	保留	Sakizaya_A2-7-2.mp3
i naci:la	前天	保留	Sakizaya_A2-7-3.mp3
i pabaw	上面；上方	保留	Sakizaya_A2-7-4.mp3
i sasa	下面；下方；低	保留	Sakizaya_A2-7-5.mp3
i tawya	當時	保留	Sakizaya_A2-7-6.mp3
i teban; laad; laed	中間；之間	保留	Sakizaya_A2-7-7.mp3
icelang	力量	保留	Sakizaya_A2-7-8.mp3
iduc	矛	保留	Sakizaya_A2-7-9.mp3
imelang	生病	保留	Sakizaya_A2-7-10.mp3
ina	母親；岳母	保留	Sakizaya_A2-7-11.mp3
inayay	沒有；不在	保留	Sakizaya_A2-7-12.mp3
ising	醫生(日語借字)	保留	Sakizaya_A2-7-13.mp3
izang	血；血液	保留	Sakizaya_A2-7-14.mp3
izaw	有；在	保留	Sakizaya_A2-7-15.mp3
kabi	湯	保留	Sakizaya_A2-8-1.mp3
kabus	蝦	保留	Sakizaya_A2-8-2.mp3
kai	不要	保留	Sakizaya_A2-8-3.mp3
kaka	哥哥；堂表兄弟	保留	Sakizaya_A2-8-4.mp3
kakabian	床舖	保留	Sakizaya_A2-8-5.mp3
kakana	姊姊；堂表姐妹	保留	Sakizaya_A2-8-6.mp3
kakawit	鐮刀	保留	Sakizaya_A2-8-7.mp3
kakeleng	雷	保留	Sakizaya_A2-8-8.mp3
kaku; aku; takuwan;takuwanan	我	保留	Sakizaya_A2-8-9.mp3
kalamkam	快速	保留	Sakizaya_A2-8-10.mp3
kalang	螃蟹	保留	Sakizaya_A2-8-11.mp3
kalapiyat	閃電	保留	Sakizaya_A2-8-12.mp3
kalisiw	錢	保留	Sakizaya_A2-8-13.mp3
kalitubah	葛鬱金	保留	Sakizaya_A2-8-14.mp3
kami; niyam; itamiyan	我們（排除式）	保留	Sakizaya_A2-8-15.mp3
kamu	語言	保留	Sakizaya_A2-8-16.mp3
kamu; namu; kamuwan; kamuwanan	你們	保留	Sakizaya_A2-8-17.mp3
kanas	籃子	保留	Sakizaya_A2-8-18.mp3
kanasaw	海膽	保留	Sakizaya_A2-8-19.mp3
kasienawan	冬天	保留	Sakizaya_A2-8-20.mp3
katalalan	牛	保留	Sakizaya_A2-8-21.mp3
kati/ ati	來；過來；叫人來	保留	Sakizaya_A2-8-22.mp3
katukuh	抵達；到達	保留	Sakizaya_A2-8-23.mp3
katuud	多（人）	保留	Sakizaya_A2-8-24.mp3
kauzip	日子	保留	Sakizaya_A2-8-25.mp3
kawanan	右邊	保留	Sakizaya_A2-8-26.mp3
kawili	左邊	保留	Sakizaya_A2-8-27.mp3
kawpil	地瓜葉	保留	Sakizaya_A2-8-28.mp3
kaysing	飯碗	保留	Sakizaya_A2-8-29.mp3
kazizeng	車子	保留	Sakizaya_A2-8-30.mp3
kedukedu	山蘇	保留	Sakizaya_A2-8-31.mp3
keliw	線；苧麻線	保留	Sakizaya_A2-8-32.mp3
kikul	尾巴	保留	Sakizaya_A2-8-33.mp3
kilakilangan	森林	保留	Sakizaya_A2-8-34.mp3
kilang	樹木	保留	Sakizaya_A2-8-35.mp3
kisu; isu; kisuwan; kisuwanan	你	保留	Sakizaya_A2-8-36.mp3
kita; ita; ititaan	我們（包含式）；咱們	保留	Sakizaya_A2-8-37.mp3
kitiw	細	保留	Sakizaya_A2-8-38.mp3
kiwmah	山豬	保留	Sakizaya_A2-8-39.mp3
kizemu	胖（人）	保留	Sakizaya_A2-8-40.mp3
kubetul	厚	保留	Sakizaya_A2-8-41.mp3
kubkub	玉米	保留	Sakizaya_A2-8-42.mp3
kuheni; nuheni; heni; tunuhenian	他們	保留	Sakizaya_A2-8-43.mp3
kukay	謝謝	保留	Sakizaya_A2-8-44.mp3
kulang	芥菜	保留	Sakizaya_A2-8-46.mp3
kulawit	鉤子	保留	Sakizaya_A2-8-47.mp3
kuletu	山藥	保留	Sakizaya_A2-8-48.mp3
kulit	顏色	保留	Sakizaya_A2-8-49.mp3
kulul	背部（背後）	保留	Sakizaya_A2-8-50.mp3
kungku	故事	保留	Sakizaya_A2-8-51.mp3
kupit	瘦	保留	Sakizaya_A2-8-52.mp3
kutem	陰天；雲	保留	Sakizaya_A2-8-53.mp3
kyu	所以	保留	Sakizaya_A2-8-54.mp3
laad/ laed	中間；之間	保留	Sakizaya_A2-9-1.mp3
labi	夜；夜晚	保留	Sakizaya_A2-9-2.mp3
laic	繩索	保留	Sakizaya_A2-9-3.mp3
lalaba	追	保留	Sakizaya_A2-9-5.mp3
lalacan	海螺	保留	Sakizaya_A2-9-6.mp3
lalangaw	蒼蠅	保留	Sakizaya_A2-9-7.mp3
lalangawan	文化	保留	Sakizaya_A2-9-8.mp3
lalud	夏天	保留	Sakizaya_A2-9-9.mp3
laluma’an	家族；親戚	保留	Sakizaya_A2-9-10.mp3
lamal	火	保留	Sakizaya_A2-9-11.mp3
lamit	根	保留	Sakizaya_A2-9-13.mp3
lapit	飛鼠	保留	Sakizaya_A2-9-15.mp3
lasubu	百	保留	Sakizaya_A2-9-16.mp3
laway	嘴巴	保留	Sakizaya_A2-9-17.mp3
layak	平地人	保留	Sakizaya_A2-9-18.mp3
lemed; ngitih	夢	保留	Sakizaya_A2-9-19.mp3
liel	脖子	保留	Sakizaya_A2-9-20.mp3
likec	規範；規矩	保留	Sakizaya_A2-9-21.mp3
liken	沙子	保留	Sakizaya_A2-9-22.mp3
likes	蚊子	保留	Sakizaya_A2-9-23.mp3
lilis	旁邊	保留	Sakizaya_A2-9-24.mp3
lima	手；五	保留	Sakizaya_A2-9-25.mp3
lima a bataan	五十	保留	Sakizaya_A2-9-26.mp3
limulak	慶祝；高興	保留	Sakizaya_A2-9-27.mp3
