族語	中文翻譯	從語料庫移除	覆寫音檔網址	音檔網址
moda	經過	保留		http://ilrdc.tw/grammar/sound/5/A2-11-88.mp3
mopux	翻倒	保留		http://ilrdc.tw/grammar/sound/5/A2-11-89.mp3
mosa /musa	去	保留		http://ilrdc.tw/grammar/sound/5/A2-11-90.mp3
mpaha	放置（要放置）	保留		http://ilrdc.tw/grammar/sound/5/A2-11-91.mp3
mpika	跛腳	保留		http://ilrdc.tw/grammar/sound/5/A2-11-92.mp3
mpitu	七	保留		http://ilrdc.tw/grammar/sound/5/A2-11-93.mp3
mpitu kmxalan	七十	保留		http://ilrdc.tw/grammar/sound/5/A2-11-94.mp3
mpmisan	秋天	保留		http://ilrdc.tw/grammar/sound/5/A2-11-95.mp3
mprbagan	春天	保留		http://ilrdc.tw/grammar/sound/5/A2-11-96.mp3
mptgesa	老師	保留		http://ilrdc.tw/grammar/sound/5/A2-11-97.mp3
mpusan	二十	保留		http://ilrdc.tw/grammar/sound/5/A2-11-98.mp3
mqaras	高興；快樂	保留		http://ilrdc.tw/grammar/sound/5/A2-11-99.mp3
mqbahang	聽	保留		http://ilrdc.tw/grammar/sound/5/A2-11-100.mp3
mqedil	女性；女人	保留		http://ilrdc.tw/grammar/sound/5/A2-11-101.mp3
mqemi	閉（眼睛）	保留		http://ilrdc.tw/grammar/sound/5/A2-11-102.mp3
mquri	往（某個方向、地區）	保留		http://ilrdc.tw/grammar/sound/5/A2-11-103.mp3
mremux	進入	保留		http://ilrdc.tw/grammar/sound/5/A2-11-104.mp3
mriman	五十	保留		http://ilrdc.tw/grammar/sound/5/A2-11-105.mp3
mrkerak	癢	保留		http://ilrdc.tw/grammar/sound/5/A2-11-106.mp3
mrunu	地震	保留		http://ilrdc.tw/grammar/sound/5/A2-11-107.mp3
msange	休息；停止	保留		http://ilrdc.tw/grammar/sound/5/A2-11-108.mp3
msderux	直	保留		http://ilrdc.tw/grammar/sound/5/A2-11-109.mp3
msekuy	冷	保留		http://ilrdc.tw/grammar/sound/5/A2-11-110.mp3
mseyang	生氣；氣憤	保留		http://ilrdc.tw/grammar/sound/5/A2-11-111.mp3
mseyaq	咳	保留		http://ilrdc.tw/grammar/sound/5/A2-11-112.mp3
msklui	嚇一跳	保留		http://ilrdc.tw/grammar/sound/5/A2-11-113.mp3
msliko	快速	保留		http://ilrdc.tw/grammar/sound/5/A2-11-114.mp3
mslleung / msleung	打瞌睡	保留		http://ilrdc.tw/grammar/sound/5/A2-11-115.mp3
mspatun	四十	保留		http://ilrdc.tw/grammar/sound/5/A2-11-116.mp3
msqedil	配偶	保留		http://ilrdc.tw/grammar/sound/5/A2-11-117.mp3
msterung	結婚	保留		http://ilrdc.tw/grammar/sound/5/A2-11-118.mp3
msterung; mgnetun	遇到；相遇	保留		http://ilrdc.tw/grammar/sound/5/A2-11-119.mp3
msurung	陰天	保留		http://ilrdc.tw/grammar/sound/5/A2-11-120.mp3
msuwak	打哈欠	保留		http://ilrdc.tw/grammar/sound/5/A2-11-121.mp3
mswae	分開；再見	保留		http://ilrdc.tw/grammar/sound/5/A2-11-122.mp3
mtakur	跌倒	保留		http://ilrdc.tw/grammar/sound/5/A2-11-123.mp3
mtaqi	睡覺	保留		http://ilrdc.tw/grammar/sound/5/A2-11-124.mp3
mtara / tmara	等待	保留		http://ilrdc.tw/grammar/sound/5/A2-11-125.mp3
mtbasi	酸	保留		http://ilrdc.tw/grammar/sound/5/A2-11-126.mp3
mtbeno	肥碩動物或人	保留		http://ilrdc.tw/grammar/sound/5/A2-11-127.mp3
mtengi	飽	保留		http://ilrdc.tw/grammar/sound/5/A2-11-128.mp3
mterun	三十	保留		http://ilrdc.tw/grammar/sound/5/A2-11-129.mp3
mthuwe	慢慢的	保留		http://ilrdc.tw/grammar/sound/5/A2-11-130.mp3
mtilux	熱；燙	保留		http://ilrdc.tw/grammar/sound/5/A2-11-131.mp3
mtqeran	睏（想睡覺）	保留		http://ilrdc.tw/grammar/sound/5/A2-11-132.mp3
mtswai	兄弟姐妹；手足	保留		http://ilrdc.tw/grammar/sound/5/A2-11-133.mp3
mtuting	掉落；（要）鍛製	保留		http://ilrdc.tw/grammar/sound/5/A2-11-134.mp3
mtutuy	起來；起床	保留		http://ilrdc.tw/grammar/sound/5/A2-11-135.mp3
mu	我（的）	保留		http://ilrdc.tw/grammar/sound/5/A2-11-136.mp3
muduh	烤	保留		http://ilrdc.tw/grammar/sound/5/A2-11-137.mp3
muhing	鼻子	保留		http://ilrdc.tw/grammar/sound/5/A2-11-138.mp3
mutaq	嘔吐	保留		http://ilrdc.tw/grammar/sound/5/A2-12-2.mp3
mutung	點火	保留		http://ilrdc.tw/grammar/sound/5/A2-12-3.mp3
muudus	活的	保留		http://ilrdc.tw/grammar/sound/5/A2-12-4.mp3
muure	餓	保留		http://ilrdc.tw/grammar/sound/5/A2-12-5.mp3
muuwic	累	保留		http://ilrdc.tw/grammar/sound/5/A2-12-6.mp3
muuyas / muuyas uyas	唱歌	保留		http://ilrdc.tw/grammar/sound/5/A2-12-7.mp3
muuyas	讀書	保留		http://ilrdc.tw/grammar/sound/5/A2-12-8.mp3
muyu	模仿；仿效	保留		http://ilrdc.tw/grammar/sound/5/A2-12-9.mp3
na; heya; nheya	他	保留		http://ilrdc.tw/grammar/sound/5/A2-12-10.mp3
naka	應該	保留		http://ilrdc.tw/grammar/sound/5/A2-12-11.mp3
naku	我（的）	保留		http://ilrdc.tw/grammar/sound/5/A2-12-12.mp3
nami; miyan; yami; nnami	我們（排除式）	保留		http://ilrdc.tw/grammar/sound/5/A2-12-13.mp3
namu; yamu; nnamu	你們	保留		http://ilrdc.tw/grammar/sound/5/A2-12-14.mp3
naqah	壞的；不好的	保留		http://ilrdc.tw/grammar/sound/5/A2-12-15.mp3
narac	右邊	保留		http://ilrdc.tw/grammar/sound/5/A2-12-16.mp3
nasi	如果	保留		http://ilrdc.tw/grammar/sound/5/A2-12-17.mp3
nbuyas	肚子	保留		http://ilrdc.tw/grammar/sound/5/A2-12-18.mp3
ndheya	他們（的）	保留		http://ilrdc.tw/grammar/sound/5/A2-12-19.mp3
nduyung	脖子	保留		http://ilrdc.tw/grammar/sound/5/A2-12-20.mp3
neepah	耕作地	保留		http://ilrdc.tw/grammar/sound/5/A2-12-21.mp3
negul	繩索	保留		http://ilrdc.tw/grammar/sound/5/A2-12-22.mp3
neluk	門	保留		http://ilrdc.tw/grammar/sound/5/A2-12-23.mp3
netun; nasi	如果	保留		http://ilrdc.tw/grammar/sound/5/A2-12-24.mp3
nheya	他（的）	保留		http://ilrdc.tw/grammar/sound/5/A2-12-25.mp3
nii	這（個）	保留		http://ilrdc.tw/grammar/sound/5/A2-12-26.mp3
nii; gaga; gisu	正在	保留		http://ilrdc.tw/grammar/sound/5/A2-12-27.mp3
niqan	有；在	保留		http://ilrdc.tw/grammar/sound/5/A2-12-28.mp3
nirih bubu	阿姨；嬸嬸； 姑姑	保留		http://ilrdc.tw/grammar/sound/5/A2-12-29.mp3
nirih tama	叔叔；伯伯	保留		http://ilrdc.tw/grammar/sound/5/A2-12-30.mp3
nisu	你（的）	保留		http://ilrdc.tw/grammar/sound/5/A2-13-1.mp3
nita	我們（的）（包含式）；咱們（的）	保留		http://ilrdc.tw/grammar/sound/5/A2-13-2.mp3
nnaku	我（的）	保留		http://ilrdc.tw/grammar/sound/5/A2-13-3.mp3
nnami	我們（的）（排除式）	保留		http://ilrdc.tw/grammar/sound/5/A2-13-4.mp3
nnamu	你們（的）	保留		http://ilrdc.tw/grammar/sound/5/A2-13-5.mp3
nnisu	你（的）	保留		http://ilrdc.tw/grammar/sound/5/A2-13-6.mp3
nnita	我們（的）（包含式）；咱們（的）	保留		http://ilrdc.tw/grammar/sound/5/A2-14-1.mp3
nunuh	乳房	保留		http://ilrdc.tw/grammar/sound/5/A2-14-2.mp3
nuqah	苧麻線；生麻紗；麻絲	保留		http://ilrdc.tw/grammar/sound/5/A2-14-3.mp3
nganguc	庭院；院子	保留		http://ilrdc.tw/grammar/sound/5/A2-14-4.mp3
ngayan	名字	保留		http://ilrdc.tw/grammar/sound/5/A2-14-5.mp3
ngerac	外面；外頭	保留		http://ilrdc.tw/grammar/sound/5/A2-14-6.mp3
ngiro	香菇	保留		http://ilrdc.tw/grammar/sound/5/A2-14-9.mp3
ngiyo	貓	保留		http://ilrdc.tw/grammar/sound/5/A2-14-10.mp3
ngungu	尾巴；害怕	保留		http://ilrdc.tw/grammar/sound/5/A2-14-11.mp3
pai	祖母；外婆；岳母；女性長者	保留		http://ilrdc.tw/grammar/sound/5/A2-14-12.mp3
papak	腳	保留		http://ilrdc.tw/grammar/sound/5/A2-14-13.mp3
parih	鋤頭	保留		http://ilrdc.tw/grammar/sound/5/A2-14-14.mp3
paru	大	保留		http://ilrdc.tw/grammar/sound/5/A2-14-15.mp3
paru	長大	保留		http://ilrdc.tw/grammar/sound/5/A2-14-16.mp3
patis	書；信件	保留		http://ilrdc.tw/grammar/sound/5/A2-14-17.mp3
paye / pae	稻穀（未去殼）；稻子	保留		http://ilrdc.tw/grammar/sound/5/A2-14-19.mp3
pberih; mutaq	嘔吐	保留		http://ilrdc.tw/grammar/sound/5/A2-14-20.mp3
pcupux	蟑螂	保留		http://ilrdc.tw/grammar/sound/5/A2-14-21.mp3
pdahung	嘴唇	保留		http://ilrdc.tw/grammar/sound/5/A2-14-22.mp3
pdaus	蜻蜓	保留		http://ilrdc.tw/grammar/sound/5/A2-14-23.mp3
phepah	花朵	保留		http://ilrdc.tw/grammar/sound/5/A2-14-24.mp3
pila	錢；貨幣	保留		http://ilrdc.tw/grammar/sound/5/A2-14-25.mp3
piya	多少	保留		http://ilrdc.tw/grammar/sound/5/A2-14-26.mp3
plabu	雲	保留		http://ilrdc.tw/grammar/sound/5/A2-14-27.mp3
plale	蝴蝶	保留		http://ilrdc.tw/grammar/sound/5/A2-14-28.mp3
plaling	釣魚	保留		http://ilrdc.tw/grammar/sound/5/A2-14-29.mp3
Plmukan; Klmukan	平地人；漢人；閩南人	保留		http://ilrdc.tw/grammar/sound/5/A2-14-30.mp3
pngerah / pngerah karac	星星	保留		http://ilrdc.tw/grammar/sound/5/A2-15-1.mp3
pngerah	碗	保留		http://ilrdc.tw/grammar/sound/5/A2-15-2.mp3
pptasan	桌子；書桌；書寫處；作業簿	保留		http://ilrdc.tw/grammar/sound/5/A2-15-3.mp3
ppuqun	食物	保留		http://ilrdc.tw/grammar/sound/5/A2-15-4.mp3
prading	開始	保留		http://ilrdc.tw/grammar/sound/5/A2-15-5.mp3
preko	蚊子	保留		http://ilrdc.tw/grammar/sound/5/A2-15-6.mp3
puniq	火	保留		http://ilrdc.tw/grammar/sound/5/A2-15-7.mp3
pure	煮（飯、肉、地瓜）	保留		http://ilrdc.tw/grammar/sound/5/A2-15-8.mp3
pusu	根源；根部	保留		http://ilrdc.tw/grammar/sound/5/A2-15-9.mp3
puto	短	保留		http://ilrdc.tw/grammar/sound/5/A2-15-10.mp3
puyan	矛	保留		http://ilrdc.tw/grammar/sound/5/A2-15-11.mp3
puyaq	臀部	保留		http://ilrdc.tw/grammar/sound/5/A2-15-12.mp3
qalux	黑色	保留		http://ilrdc.tw/grammar/sound/5/A2-15-13.mp3
qatan / qataq	夾子	保留		http://ilrdc.tw/grammar/sound/5/A2-15-14.mp3
qbheni	鳥	保留		http://ilrdc.tw/grammar/sound/5/A2-15-15.mp3
qbsuran mqedil	姊姊	保留		http://ilrdc.tw/grammar/sound/5/A2-15-16.mp3
qbsuran rseno; qbsuran mqedil	哥哥；姊姊	保留		http://ilrdc.tw/grammar/sound/5/A2-15-17.mp3
qburung; kagun / kawin	鐮刀	保留		http://ilrdc.tw/grammar/sound/5/A2-15-18.mp3
qcurux	魚	保留		http://ilrdc.tw/grammar/sound/5/A2-15-19.mp3
qdiro	老鷹	保留		http://ilrdc.tw/grammar/sound/5/A2-15-20.mp3
qduriq	逃跑	保留		http://ilrdc.tw/grammar/sound/5/A2-15-21.mp3
qedil	妻子；太太	保留		http://ilrdc.tw/grammar/sound/5/A2-15-22.mp3
qelung	木耳；雞冠	保留		http://ilrdc.tw/grammar/sound/5/A2-15-23.mp3
qerul	燒焦；烤焦	保留		http://ilrdc.tw/grammar/sound/5/A2-15-24.mp3
qhuni	樹木；柴薪	保留		http://ilrdc.tw/grammar/sound/5/A2-15-25.mp3
qlapo	床舖	保留		http://ilrdc.tw/grammar/sound/5/A2-15-26.mp3
qmada	丟棄	保留		http://ilrdc.tw/grammar/sound/5/A2-15-27.mp3
qmagas	山藥	保留		http://ilrdc.tw/grammar/sound/5/A2-15-28.mp3
qmburung	收割；割（稻、芒草、牧草）	保留		http://ilrdc.tw/grammar/sound/5/A2-15-29.mp3
qmecul	擰	保留		http://ilrdc.tw/grammar/sound/5/A2-15-30.mp3
qmeepah	工作	保留		http://ilrdc.tw/grammar/sound/5/A2-15-31.mp3
qmemul	餵食	保留		http://ilrdc.tw/grammar/sound/5/A2-15-32.mp3
qmerac	抓；捉	保留		http://ilrdc.tw/grammar/sound/5/A2-15-33.mp3
qmerac / qmeraq	捕抓	保留		http://ilrdc.tw/grammar/sound/5/A2-15-34.mp3
qmilic	剝果皮	保留		http://ilrdc.tw/grammar/sound/5/A2-15-35.mp3
qmita	看	保留		http://ilrdc.tw/grammar/sound/5/A2-15-36.mp3
qmiyuc	咬	保留		http://ilrdc.tw/grammar/sound/5/A2-15-37.mp3
qmlahang	照顧；看護	保留		http://ilrdc.tw/grammar/sound/5/A2-15-38.mp3
qmleqah	踩踏	保留		http://ilrdc.tw/grammar/sound/5/A2-15-39.mp3
qmquduq	胳肢癢	保留		http://ilrdc.tw/grammar/sound/5/A2-15-40.mp3
qmulah	鋤草	保留		http://ilrdc.tw/grammar/sound/5/A2-15-41.mp3
qmuluh	剃髮	保留		http://ilrdc.tw/grammar/sound/5/A2-15-42.mp3
qmuti	大便；上大號	保留		http://ilrdc.tw/grammar/sound/5/A2-15-43.mp3
qnedis	長	保留		http://ilrdc.tw/grammar/sound/5/A2-15-44.mp3
qolic	老鼠	保留		http://ilrdc.tw/grammar/sound/5/A2-15-45.mp3
qpatun/ qpatur	青蛙	保留		http://ilrdc.tw/grammar/sound/5/A2-16-1.mp3
qraqin / qraqil	皮（人或動物）；皮膚	保留		http://ilrdc.tw/grammar/sound/5/A2-16-2.mp3
qrengul	煙	保留		http://ilrdc.tw/grammar/sound/5/A2-16-3.mp3
qsiya	水	保留		http://ilrdc.tw/grammar/sound/5/A2-16-4.mp3
qtahi	螞蟻	保留		http://ilrdc.tw/grammar/sound/5/A2-16-5.mp3
qtehur	胖（人）；粗（物）	保留		http://ilrdc.tw/grammar/sound/5/A2-16-6.mp3
qumi	針	保留		http://ilrdc.tw/grammar/sound/5/A2-16-7.mp3
quti	糞便；屎	保留		http://ilrdc.tw/grammar/sound/5/A2-16-8.mp3
quwaq	嘴巴	保留		http://ilrdc.tw/grammar/sound/5/A2-16-9.mp3
quyu	蛇	保留		http://ilrdc.tw/grammar/sound/5/A2-16-10.mp3
quyux	雨	保留		http://ilrdc.tw/grammar/sound/5/A2-16-11.mp3
qwarux	黃鱔藤	保留		http://ilrdc.tw/grammar/sound/5/A2-16-12.mp3
rabi	夜；夜晚	保留		http://ilrdc.tw/grammar/sound/5/A2-16-13.mp3
rako	顏色；圖紋	保留		http://ilrdc.tw/grammar/sound/5/A2-16-14.mp3
rapic	飛鼠	保留		http://ilrdc.tw/grammar/sound/5/A2-16-15.mp3
raqic	箭矢	保留		http://ilrdc.tw/grammar/sound/5/A2-16-16.mp3
rawa	籃子	保留		http://ilrdc.tw/grammar/sound/5/A2-16-17.mp3
rbagan	夏天	保留		http://ilrdc.tw/grammar/sound/5/A2-16-18.mp3
rcilung	水深處；湖泊	保留		http://ilrdc.tw/grammar/sound/5/A2-16-19.mp3
rebu	尿	保留		http://ilrdc.tw/grammar/sound/5/A2-16-20.mp3
rehak	種子	保留		http://ilrdc.tw/grammar/sound/5/A2-16-21.mp3
rehaq	皮（樹或瓜果）；鶽；鷲	保留		http://ilrdc.tw/grammar/sound/5/A2-16-22.mp3
reko	高瘦（身材）	保留		http://ilrdc.tw/grammar/sound/5/A2-16-23.mp3
rhengun	門口；入口	保留		http://ilrdc.tw/grammar/sound/5/A2-16-24.mp3
ricah	梅子	保留		http://ilrdc.tw/grammar/sound/5/A2-16-25.mp3
ridil	歪；斜	保留		http://ilrdc.tw/grammar/sound/5/A2-16-26.mp3
rima	五	保留		http://ilrdc.tw/grammar/sound/5/A2-16-27.mp3
riso	青年	保留		http://ilrdc.tw/grammar/sound/5/A2-16-28.mp3
riyung	很	保留		http://ilrdc.tw/grammar/sound/5/A2-16-29.mp3
rkebun	胃	保留		http://ilrdc.tw/grammar/sound/5/A2-16-30.mp3
rmaguh	打開	保留		http://ilrdc.tw/grammar/sound/5/A2-16-31.mp3
rmala	過貓	保留		http://ilrdc.tw/grammar/sound/5/A2-16-32.mp3
rmebu	浸泡	保留		http://ilrdc.tw/grammar/sound/5/A2-16-33.mp3
rmehaq	剝樹皮；掀開（衣物、被褥）	保留		http://ilrdc.tw/grammar/sound/5/A2-16-34.mp3
rmengo	說	保留		http://ilrdc.tw/grammar/sound/5/A2-16-35.mp3
rmequn	吞下	保留		http://ilrdc.tw/grammar/sound/5/A2-16-36.mp3
rmicuh	塗（口紅；油漆）	保留		http://ilrdc.tw/grammar/sound/5/A2-16-37.mp3
rmiyux	換；替換	保留		http://ilrdc.tw/grammar/sound/5/A2-16-38.mp3
rnecux	水患	保留		http://ilrdc.tw/grammar/sound/5/A2-16-39.mp3
rngedi	蒼蠅	保留		http://ilrdc.tw/grammar/sound/5/A2-16-40.mp3
rodux	雞	保留		http://ilrdc.tw/grammar/sound/5/A2-17-1.mp3
rqeling	細	保留		http://ilrdc.tw/grammar/sound/5/A2-17-2.mp3
rqenan	咽喉	保留		http://ilrdc.tw/grammar/sound/5/A2-17-3.mp3
rrigan	篩；篩子	保留		http://ilrdc.tw/grammar/sound/5/A2-17-4.mp3
rseno	男性；男人	保留		http://ilrdc.tw/grammar/sound/5/A2-17-6.mp3
rudan	老人；長者	保留		http://ilrdc.tw/grammar/sound/5/A2-17-7.mp3
rulu	車子	保留		http://ilrdc.tw/grammar/sound/5/A2-17-8.mp3
rumun	肝臟	保留		http://ilrdc.tw/grammar/sound/5/A2-17-9.mp3
runge	猴子	保留		http://ilrdc.tw/grammar/sound/5/A2-17-10.mp3
rupun	牙齒	保留		http://ilrdc.tw/grammar/sound/5/A2-17-11.mp3
ruru	小溪	保留		http://ilrdc.tw/grammar/sound/5/A2-17-12.mp3
rutiq	髒	保留		http://ilrdc.tw/grammar/sound/5/A2-17-14.mp3
saadux	硬	保留		http://ilrdc.tw/grammar/sound/5/A2-17-15.mp3
saku	你+我（融合式）	保留		http://ilrdc.tw/grammar/sound/5/A2-17-16.mp3
sama	青菜	保留		http://ilrdc.tw/grammar/sound/5/A2-17-17.mp3
sapah	家；房子	保留		http://ilrdc.tw/grammar/sound/5/A2-17-18.mp3
sapah pyasan	學校	保留		http://ilrdc.tw/grammar/sound/5/A2-17-19.mp3
sapah qtiyan	廁所	保留		http://ilrdc.tw/grammar/sound/5/A2-17-20.mp3
sapic	鞋子	保留		http://ilrdc.tw/grammar/sound/5/A2-17-21.mp3
sari	芋頭	保留		http://ilrdc.tw/grammar/sound/5/A2-17-22.mp3
saya	現在	保留		http://ilrdc.tw/grammar/sound/5/A2-17-23.mp3
sdara	流血	保留		http://ilrdc.tw/grammar/sound/5/A2-17-24.mp3
seediq	人	保留		http://ilrdc.tw/grammar/sound/5/A2-17-25.mp3
Seediq	本族的自稱用語	保留		http://ilrdc.tw/grammar/sound/5/A2-17-26.mp3
seediq msapuh; ising	醫生	保留		http://ilrdc.tw/grammar/sound/5/A2-17-27.mp3
seno	丈夫；先生	保留		http://ilrdc.tw/grammar/sound/5/A2-17-28.mp3
sepac	四	保留		http://ilrdc.tw/grammar/sound/5/A2-17-29.mp3
sepi	夢	保留		http://ilrdc.tw/grammar/sound/5/A2-17-30.mp3
seru	杵	保留		http://ilrdc.tw/grammar/sound/5/A2-17-31.mp3
sibus	甘蔗	保留		http://ilrdc.tw/grammar/sound/5/A2-17-32.mp3
sino	酒	保留		http://ilrdc.tw/grammar/sound/5/A2-17-33.mp3
sisin / sisil	綉眼畫眉鳥；靈鳥	保留		http://ilrdc.tw/grammar/sound/5/A2-17-34.mp3
siyang	豬肉	保留		http://ilrdc.tw/grammar/sound/5/A2-17-35.mp3
siyo	旁邊	保留		http://ilrdc.tw/grammar/sound/5/A2-17-36.mp3
siyo rcilung	海；海邊	保留		http://ilrdc.tw/grammar/sound/5/A2-17-37.mp3
skiya	飛	保留		http://ilrdc.tw/grammar/sound/5/A2-17-38.mp3
slamaq	燒	保留		http://ilrdc.tw/grammar/sound/5/A2-17-39.mp3
slau	梳子	保留		http://ilrdc.tw/grammar/sound/5/A2-17-40.mp3
slmadac / hlmadac	獵刀	保留		http://ilrdc.tw/grammar/sound/5/A2-17-41.mp3
smalu	製作；修復	保留		http://ilrdc.tw/grammar/sound/5/A2-17-42.mp3
smapo	舖床	保留		http://ilrdc.tw/grammar/sound/5/A2-17-43.mp3
smaruk	燒（獵物或家禽的）毛	保留		http://ilrdc.tw/grammar/sound/5/A2-17-44.mp3
smdurak	追	保留		http://ilrdc.tw/grammar/sound/5/A2-17-45.mp3
smebuc	打（用棍子、繩子、軟管）	保留		http://ilrdc.tw/grammar/sound/5/A2-17-46.mp3
smepu	數；算	保留		http://ilrdc.tw/grammar/sound/5/A2-17-47.mp3
smeqic	砍下（小）樹	保留		http://ilrdc.tw/grammar/sound/5/A2-17-48.mp3
smerus	擦拭	保留		http://ilrdc.tw/grammar/sound/5/A2-17-49.mp3
smesung	慶祝；慶典	保留		http://ilrdc.tw/grammar/sound/5/A2-17-50.mp3
smiling	問；詢問	保留		http://ilrdc.tw/grammar/sound/5/A2-17-51.mp3
smino	洗（物品	保留		http://ilrdc.tw/grammar/sound/5/A2-17-52.mp3
smkenux	聞	保留		http://ilrdc.tw/grammar/sound/5/A2-17-53.mp3
smkesik	掃；打掃	保留		http://ilrdc.tw/grammar/sound/5/A2-17-54.mp3
smkuxul / smkuxun	愛；喜歡	保留		http://ilrdc.tw/grammar/sound/5/A2-17-55.mp3
smlluhe / slluhe	學習；練習	保留		http://ilrdc.tw/grammar/sound/5/A2-17-56.mp3
smneeru; muyu	模仿；仿效	保留		http://ilrdc.tw/grammar/sound/5/A2-17-57.mp3
smquri	削製（竹、木、金屬）	保留		http://ilrdc.tw/grammar/sound/5/A2-17-58.mp3
Smratuc	播種祭	保留		http://ilrdc.tw/grammar/sound/5/A2-17-59.mp3
smrebu	小便；上小號	保留		http://ilrdc.tw/grammar/sound/5/A2-17-60.mp3
smruwa	答應	保留		http://ilrdc.tw/grammar/sound/5/A2-17-61.mp3
smuyuk	搓成線（徒手）	保留		http://ilrdc.tw/grammar/sound/5/A2-17-62.mp3
snhii / snhiyun/ snhiyan	相信	保留		http://ilrdc.tw/grammar/sound/5/A2-17-63.mp3
snrrmuwan	粥；稀飯	保留		http://ilrdc.tw/grammar/sound/5/A2-17-64.mp3
snuunux	頭髮	保留		http://ilrdc.tw/grammar/sound/5/A2-17-65.mp3
soni; hani	剛才	保留		http://ilrdc.tw/grammar/sound/5/A2-18-1.mp3
sputu	鳳梨	保留		http://ilrdc.tw/grammar/sound/5/A2-18-2.mp3
sqama; slamaq	燒；燃燒	保留		http://ilrdc.tw/grammar/sound/5/A2-18-3.mp3
sraki	餌（魚、獵餌）	保留		http://ilrdc.tw/grammar/sound/5/A2-18-4.mp3
srkunux	咬人貓	保留		http://ilrdc.tw/grammar/sound/5/A2-18-5.mp3
srqemu	玉米	保留		http://ilrdc.tw/grammar/sound/5/A2-18-6.mp3
stenge	滿	保留		http://ilrdc.tw/grammar/sound/5/A2-18-7.mp3
su; isu; nisu; nnisu; sunan	你	保留		http://ilrdc.tw/grammar/sound/5/A2-18-8.mp3
sudu	草	保留		http://ilrdc.tw/grammar/sound/5/A2-18-9.mp3
sume	熊	保留		http://ilrdc.tw/grammar/sound/5/A2-18-10.mp3
sunguc	樹豆	保留		http://ilrdc.tw/grammar/sound/5/A2-18-11.mp3
sunan	你	保留		http://ilrdc.tw/grammar/sound/5/A2-18-12.mp3
supih	湯鍋	保留		http://ilrdc.tw/grammar/sound/5/A2-18-13.mp3
swai mqedil	妹妹	保留		http://ilrdc.tw/grammar/sound/5/A2-18-14.mp3
swai rseno; swai mqedil	弟弟；妹妹	保留		http://ilrdc.tw/grammar/sound/5/A2-18-15.mp3
ta; ita; nita; nnita	我們（包含式）；咱們	保留		http://ilrdc.tw/grammar/sound/5/A2-18-16.mp3
taku	杓子；湯匙	保留		http://ilrdc.tw/grammar/sound/5/A2-18-17.mp3
tama	父親	保留		http://ilrdc.tw/grammar/sound/5/A2-18-18.mp3
tanah	紅色	保留		http://ilrdc.tw/grammar/sound/5/A2-18-19.mp3
tbesan	篩穀機	保留		http://ilrdc.tw/grammar/sound/5/A2-18-20.mp3
tbsengu	打噴嚏	保留		http://ilrdc.tw/grammar/sound/5/A2-18-21.mp3
tdoruy	滾落	保留		http://ilrdc.tw/grammar/sound/5/A2-18-22.mp3
teerang	胸部	保留		http://ilrdc.tw/grammar/sound/5/A2-18-23.mp3
tekung	貓頭鷹	保留		http://ilrdc.tw/grammar/sound/5/A2-18-24.mp3
Telu	大陸人；外省人	保留		http://ilrdc.tw/grammar/sound/5/A2-18-25.mp3
tena	已經	保留		http://ilrdc.tw/grammar/sound/5/A2-18-26.mp3
teru	三	保留		http://ilrdc.tw/grammar/sound/5/A2-18-27.mp3
thbehuk	悶熱；不通風	保留		http://ilrdc.tw/grammar/sound/5/A2-18-28.mp3
theya	遠	保留		http://ilrdc.tw/grammar/sound/5/A2-18-29.mp3
theyaq	玩；玩耍	保留		http://ilrdc.tw/grammar/sound/5/A2-18-30.mp3
tikuh	一點；一些；少許	保留		http://ilrdc.tw/grammar/sound/5/A2-18-31.mp3
timu	鹽	保留		http://ilrdc.tw/grammar/sound/5/A2-18-32.mp3
tleetu	溫的	保留		http://ilrdc.tw/grammar/sound/5/A2-18-33.mp3
tloong / tloung /tleung	坐下	保留		http://ilrdc.tw/grammar/sound/5/A2-18-34.mp3
tmabu	飼養；豢養	保留		http://ilrdc.tw/grammar/sound/5/A2-18-35.mp3
tmabul	犁；開墾	保留		http://ilrdc.tw/grammar/sound/5/A2-18-36.mp3
tmalang	跑	保留		http://ilrdc.tw/grammar/sound/5/A2-18-37.mp3
tmapaq	拍擊；摑掌	保留		http://ilrdc.tw/grammar/sound/5/A2-18-38.mp3
tmatak	砍除；砍草	保留		http://ilrdc.tw/grammar/sound/5/A2-18-39.mp3
tmeetu	剁	保留		http://ilrdc.tw/grammar/sound/5/A2-18-40.mp3
tmekan	搗；撞擊	保留		http://ilrdc.tw/grammar/sound/5/A2-18-41.mp3
tmelung	摸；觸摸	保留		http://ilrdc.tw/grammar/sound/5/A2-18-42.mp3
tmgesa	教；教導；告訴	保留		http://ilrdc.tw/grammar/sound/5/A2-18-43.mp3
tminun	編織	保留		http://ilrdc.tw/grammar/sound/5/A2-18-44.mp3
tmsiyus	炒（飯菜）	保留		http://ilrdc.tw/grammar/sound/5/A2-18-45.mp3
tmukuy	播種	保留		http://ilrdc.tw/grammar/sound/5/A2-18-46.mp3
tmulus	拉；拖	保留		http://ilrdc.tw/grammar/sound/5/A2-18-47.mp3
tmurak	南瓜	保留		http://ilrdc.tw/grammar/sound/5/A2-19-1.mp3
tokan	男用背負網袋	保留		http://ilrdc.tw/grammar/sound/5/A2-19-2.mp3
