族語	中文翻譯	從語料庫移除	覆寫音檔網址	音檔網址
dmeka	分一半	保留		http://ilrdc.tw/grammar/sound/5/A2-4-22.mp3
dmengu	曬乾；烘烤	保留		http://ilrdc.tw/grammar/sound/5/A2-4-23.mp3
dmidil	提；抬	保留		http://ilrdc.tw/grammar/sound/5/A2-4-24.mp3
dmooi / dmoi	拿著	保留		http://ilrdc.tw/grammar/sound/5/A2-4-25.mp3
dnamux	屋頂	保留		http://ilrdc.tw/grammar/sound/5/A2-4-26.mp3
doriq	眼睛	保留		http://ilrdc.tw/grammar/sound/5/A2-4-27.mp3
dqeras	臉	保留		http://ilrdc.tw/grammar/sound/5/A2-4-28.mp3
duhung	臼	保留		http://ilrdc.tw/grammar/sound/5/A2-4-29.mp3
dungan	又；再	保留		http://ilrdc.tw/grammar/sound/5/A2-5-1.mp3
duri	也	保留		http://ilrdc.tw/grammar/sound/5/A2-5-2.mp3
egu	多（物）；多（人）	保留		http://ilrdc.tw/grammar/sound/5/A2-5-3.mp3
eluw	路；道路	保留		http://ilrdc.tw/grammar/sound/5/A2-6-1.mp3
eruc	柱子（建築）	保留		http://ilrdc.tw/grammar/sound/5/A2-6-2.mp3
gaga / ga	那（個）	保留		http://ilrdc.tw/grammar/sound/5/A2-6-3.mp3
gaga	正在	保留		http://ilrdc.tw/grammar/sound/5/A2-6-4.mp3
gaga	在（某處）	保留		http://ilrdc.tw/grammar/sound/5/A2-6-5.mp3
gakac	椅子	保留		http://ilrdc.tw/grammar/sound/5/A2-6-6.mp3
gamin / gamil	根	保留		http://ilrdc.tw/grammar/sound/5/A2-6-7.mp3
gaya	規範；律法；習俗	保留		http://ilrdc.tw/grammar/sound/5/A2-6-8.mp3
gelu	喉嚨	保留		http://ilrdc.tw/grammar/sound/5/A2-6-9.mp3
gemuk	蓋子	保留		http://ilrdc.tw/grammar/sound/5/A2-6-10.mp3
gisu	正在	保留		http://ilrdc.tw/grammar/sound/5/A2-6-11.mp3
gisu	來（要來）	保留		http://ilrdc.tw/grammar/sound/5/A2-6-12.mp3
glahang	寬；寬敞	保留		http://ilrdc.tw/grammar/sound/5/A2-6-13.mp3
gmaalu	愛護；疼愛	保留		http://ilrdc.tw/grammar/sound/5/A2-6-14.mp3
gmao	挑選	保留		http://ilrdc.tw/grammar/sound/5/A2-6-15.mp3
gmbeling	打洞；挖孔	保留		http://ilrdc.tw/grammar/sound/5/A2-6-16.mp3
gmdara	殺牲畜	保留		http://ilrdc.tw/grammar/sound/5/A2-6-17.mp3
gmeeguy	偷竊	保留		http://ilrdc.tw/grammar/sound/5/A2-6-18.mp3
